pcode,name,category,LawModifiedDate,LawEffectiveDate,discarded
R0030095,公務人員特種考試民航人員考試飛航管制人員體格複檢標準,"廢止法規,考選部",20190401,,true
R0030096,公務人員特種考試海岸巡防人員考試規則,"考試,考選部,公務人員考試目",20220316,,
R0030097,八十一年公務人員特種考試技術人員考試規則,"廢止法規,考選部",20100317,,true
R0030098,八十一年公務人員特種考試技術人員考試錄取人員訓練辦法,"廢止法規,考選部",20100317,,true
R0030099,八十二年特種考試臺灣省、福建省基層公務人員考試錄取人員訓練及學習辦法,"廢止法規,考選部",20100317,,true
R0030100,公務人員特種考試稅務人員考試規則,"廢止法規,考選部",20201030,,true
R0030101,交通部所屬事業機構現職差工晉升士級人員考試辦法,"廢止法規,考選部",19970131,,true
R0030102,國家安全會議暨國家安全局現職文職人員任用資格考試辦法,"廢止法規,考選部",19970414,,true
R0030103,中央研究院現任行政人員任用資格考試辦法,"廢止法規,考選部",19970414,,true
R0030104,財政部關稅總局暨所屬機關現職人員任用資格考試辦法,"廢止法規,考選部",19970414,,true
R0030105,交通部電信總局暨所屬機構現職業務服務員暨建（技）教員佐任用資格考試辦法,"廢止法規,考選部",19970414,,true
R0030106,國軍上校以上軍官轉任公務人員考試規則,"考試,考選部,公務人員考試目",20221017,,
R0030107,公務人員高等考試一級考試規則,"考試,考選部,公務人員考試目",20211108,20240101,
R0030108,公務人員高等考試二級考試規則,"考試,考選部,公務人員考試目",20220321,20240101,
R0030109,高科技或稀少性工作類科標準,"考試,考選部,公務人員考試目",20221123,,
R0030110,公務人員特種考試國防部文職人員考試規則,"考試,考選部,公務人員考試目",20170324,,
R0030111,特種考試邊區行政人員考試條例,"廢止法規,考選部",19930421,,true
R0030112,公務人員考試規費收費標準,"考試,考選部,公務人員考試目",20170421,,
R0030113,大陸來臺義士義胞現任公職人員任用資格考試規則,"廢止法規,院本部",19910708,,true
R0030114,公務人員特種考試水利人員及水土保持人員考試規則,"廢止法規,考選部",20180427,,true
R0030115,公務人員特種考試司法官考試規則,"考試,考選部,公務人員考試目",20200317,,
R0030116,公務人員特種考試移民行政人員考試規則,"考試,考選部,公務人員考試目",20220316,,
R0040001,專門職業及技術人員考試法,"考試,考選部,專門職業及技術人員考試目",20231129,,
R0040002,專門職業及技術人員考試法施行細則,"考試,考選部,專門職業及技術人員考試目",20190920,,
R0040003,專門職業及技術人員考試體格檢查標準,"廢止法規,考選部",20080630,,true
R0040004,華僑應專門職業及技術人員考試辦法,"廢止法規,考選部",20130806,,true
R0040005,專門職業及技術人員考試口試及實地考試規則,"廢止法規,考選部",20001127,,true
R0040006,專門職業及技術人員考試總成績計算規則,"考試,考選部,專門職業及技術人員考試目",20130806,,
R0040007,外國政府專門職業及技術人員執業證書認可標準,"廢止法規,考選部",20061221,,true
R0040008,外國人應專門職業及技術人員考試條例,"廢止法規,考選部",20011114,,true
R0040009,外國政府航海人員執業證書認可辦法,"廢止法規,考選部",20010403,,true
R0040010,專門職業及技術人員高等考試引水人考試規則,"考試,考選部,專門職業及技術人員考試目",20170324,,
R0040011,專門職業及技術人員高等考試引水人考試錄取人員學習辦法,"考試,考選部,專門職業及技術人員考試目",20130806,,
R0040012,特種考試有線電話作業員考試規則,"廢止法規,考選部",20031225,,true
R0040013,專門職業及技術人員特種考試船舶電信人員考試規則,"廢止法規,考選部",20080425,,true
R0040014,特種考試漁船船員考試規則,"廢止法規,考選部",20010222,,true
